"layer","layerFrequency","trait","weight","occurrence","percentage","occurrenceSummary"
"Accessory","15%","Japanese Mask","25",26,"2.57%","26 in 1010 editions (2.57 %)"
"Accessory","15%","Musical Notes","25",23,"2.28%","23 in 1010 editions (2.28 %)"
"Accessory","15%","Peace Goggles","100",21,"2.08%","21 in 1010 editions (2.08 %)"
"Accessory","15%","Pink Goggles","100",22,"2.18%","22 in 1010 editions (2.18 %)"
"Accessory","15%","Snow Goggles","100",13,"1.29%","13 in 1010 editions (1.29 %)"
"Accessory","15%","Tattoos","25",15,"1.49%","15 in 1010 editions (1.49 %)"
"Accessory","","----TRAIT ABSENT----",0,849,"84.06%","849 in 1010 editions (84.06 %)"
"Hat","25%","Astronaut Helmet","50",11,"1.09%","11 in 1010 editions (1.09 %)"
"Hat","25%","Rockstar Hair","50",15,"1.49%","15 in 1010 editions (1.49 %)"
"Hat","25%","Witch's Hat","50",13,"1.29%","13 in 1010 editions (1.29 %)"
"Hat","25%","80's Hair","100",13,"1.29%","13 in 1010 editions (1.29 %)"
"Hat","25%","Caveman Hair","100",13,"1.29%","13 in 1010 editions (1.29 %)"
"Hat","25%","Construction Helmet","100",7,"0.69%","7 in 1010 editions (0.69 %)"
"Hat","25%","Curly Mohawk","100",8,"0.79%","8 in 1010 editions (0.79 %)"
"Hat","25%","Funky Hair","100",14,"1.39%","14 in 1010 editions (1.39 %)"
"Hat","25%","Gym Hair","100",10,"0.99%","10 in 1010 editions (0.99 %)"
"Hat","25%","Hipster Cap","100",15,"1.49%","15 in 1010 editions (1.49 %)"
"Hat","25%","Magician Hat","100",6,"0.59%","6 in 1010 editions (0.59 %)"
"Hat","25%","Rainbow Hat","100",9,"0.89%","9 in 1010 editions (0.89 %)"
"Hat","25%","Straw Hat","100",8,"0.79%","8 in 1010 editions (0.79 %)"
"Hat","25%","Bulb","100",20,"1.98%","20 in 1010 editions (1.98 %)"
"Hat","25%","Circus Cocktail","100",9,"0.89%","9 in 1010 editions (0.89 %)"
"Hat","25%","Cocktail Umbrella","100",15,"1.49%","15 in 1010 editions (1.49 %)"
"Hat","25%","Lovely Head","100",10,"0.99%","10 in 1010 editions (0.99 %)"
"Hat","25%","Plastic Straw","100",14,"1.39%","14 in 1010 editions (1.39 %)"
"Hat","25%","Rainbow Hair","100",14,"1.39%","14 in 1010 editions (1.39 %)"
"Hat","25%","Samurai Brain","100",18,"1.78%","18 in 1010 editions (1.78 %)"
"Hat","","----TRAIT ABSENT----",0,768,"76.04%","768 in 1010 editions (76.04 %)"
"Bubble","10%","BFF","100",5,"0.50%","5 in 1010 editions (0.50 %)"
"Bubble","10%","BTC","100",7,"0.69%","7 in 1010 editions (0.69 %)"
"Bubble","10%","COCO","100",8,"0.79%","8 in 1010 editions (0.79 %)"
"Bubble","10%","DCL","100",7,"0.69%","7 in 1010 editions (0.69 %)"
"Bubble","10%","ETH","100",8,"0.79%","8 in 1010 editions (0.79 %)"
"Bubble","10%","GM","100",7,"0.69%","7 in 1010 editions (0.69 %)"
"Bubble","10%","LFG","100",4,"0.40%","4 in 1010 editions (0.40 %)"
"Bubble","10%","LOL","100",5,"0.50%","5 in 1010 editions (0.50 %)"
"Bubble","10%","OG","100",5,"0.50%","5 in 1010 editions (0.50 %)"
"Bubble","10%","OK","100",7,"0.69%","7 in 1010 editions (0.69 %)"
"Bubble","10%","OMG","100",3,"0.30%","3 in 1010 editions (0.30 %)"
"Bubble","10%","WAGMI","100",2,"0.20%","2 in 1010 editions (0.20 %)"
"Bubble","10%","XD","100",6,"0.59%","6 in 1010 editions (0.59 %)"
"Bubble","","----TRAIT ABSENT----",0,936,"92.67%","936 in 1010 editions (92.67 %)"
